Language_ID,Value
iumi1238,tsʰ
iumi1238,u
iumi1238,w
iumi1238,ʍ
iumi1238,ʔ
nyis1236,˥˦
nyis1236,˩˨
nyis1236,ɑ
nyis1236,b
nyis1236,d
nyis1236,ɛ
nyis1236,ɡ
nyis1236,ɦ
nyis1236,i
nyis1236,i̥
nyis1236,j
nyis1236,k
nyis1236,l̪
nyis1236,m
nyis1236,n
nyis1236,ŋ
nyis1236,ɔ
nyis1236,p
nyis1236,r
nyis1236,s
nyis1236,t
nyis1236,u
nyis1236,u̥
nyis1236,ɯ
nyis1236,ʌ
nyis1236,x
nyis1236,ʔ
nucl1310,˥
nucl1310,˥̰
nucl1310,˩
nucl1310,a
nucl1310,æ̃
nucl1310,b
nucl1310,d
nucl1310,ð
nucl1310,d̠ʒ
nucl1310,e
nucl1310,eĩ
nucl1310,ə
nucl1310,ɛ
nucl1310,ɡ
nucl1310,h
nucl1310,i
nucl1310,ɪ̃
nucl1310,j
nucl1310,k
nucl1310,kʰ
nucl1310,l
nucl1310,l̥
nucl1310,m
nucl1310,m̥
nucl1310,n
nucl1310,n̥
nucl1310,ɲ
nucl1310,ɲ̥
nucl1310,ŋ
nucl1310,ŋ̥
nucl1310,o
nucl1310,oũ
nucl1310,ɔ
nucl1310,p
nucl1310,pʰ
nucl1310,ɾ
nucl1310,s
nucl1310,sʰ
nucl1310,ʃ
nucl1310,t
nucl1310,tʰ
nucl1310,t̠ʃ
nucl1310,t̠ʃʰ
nucl1310,u
nucl1310,ʊ̃
nucl1310,w
nucl1310,ʍ
nucl1310,z
nucl1310,ʔ
nucl1310,θ
lahu1253,˥˦
lahu1253,˧
lahu1253,˧˦
lahu1253,˧˨
lahu1253,˩
lahu1253,a
lahu1253,b
lahu1253,d
lahu1253,d̠ʒ
lahu1253,e
lahu1253,e̞
lahu1253,ɘ
lahu1253,f
lahu1253,ɡ
lahu1253,ɣ
lahu1253,h
lahu1253,i
lahu1253,ɨ
lahu1253,j
lahu1253,k
lahu1253,kʰ
lahu1253,l
lahu1253,m
lahu1253,n
lahu1253,ŋ
lahu1253,o
lahu1253,ɔ
lahu1253,p
lahu1253,pʰ
lahu1253,q
lahu1253,qʰ
lahu1253,ʃ
lahu1253,t
lahu1253,tʰ
lahu1253,t̠ʃ
lahu1253,t̠ʃʰ
lahu1253,u
lahu1253,v
lahu1253,w
lahu1253,ʔ
garo1247,a
garo1247,b
garo1247,d
garo1247,dz
garo1247,e̞
garo1247,ɡ
garo1247,h
garo1247,i
garo1247,kʰ
garo1247,l
garo1247,m
garo1247,mˀ
garo1247,n
garo1247,nˀ
garo1247,ŋ
garo1247,ŋˀ
garo1247,o
garo1247,pʰ
garo1247,ɾ
garo1247,ɾˀ
garo1247,s̻
garo1247,tʰ
garo1247,ts
garo1247,ʉ
garo1247,w
garo1247,ʔ
sgaw1245,˦˥
sgaw1245,˧˨̤
sgaw1245,˧˩
sgaw1245,a
sgaw1245,ɓ
sgaw1245,c
sgaw1245,cʰ
sgaw1245,ɗ
sgaw1245,e
sgaw1245,ɛ
sgaw1245,ɜ
sgaw1245,ɣ
sgaw1245,ɦ
sgaw1245,i
sgaw1245,ɪ̈
sgaw1245,j
sgaw1245,k
sgaw1245,kʰ
sgaw1245,l
sgaw1245,m
sgaw1245,n
sgaw1245,ɲ
sgaw1245,ŋ
sgaw1245,o
sgaw1245,ɔ
sgaw1245,p
sgaw1245,pʰ
sgaw1245,ɹ
sgaw1245,s
sgaw1245,sʰ
sgaw1245,ʃ
sgaw1245,t
sgaw1245,tʰ
sgaw1245,u
sgaw1245,w
sgaw1245,x
sgaw1245,z
sgaw1245,ʔ
sgaw1245,θ
lakk1238,˥
lakk1238,˥˦
lakk1238,˧˨˥
lakk1238,˨˧
lakk1238,˨˧˩
lakk1238,˩
lakk1238,a
lakk1238,ă
lakk1238,ẵ
lakk1238,ã
lakk1238,ĕ
lakk1238,ɛ
lakk1238,ɛ̆
lakk1238,ɛ̆̃
lakk1238,ɛ̃
lakk1238,f
lakk1238,h
lakk1238,i
lakk1238,ĭ
lakk1238,ĩ
lakk1238,ie
lakk1238,iẽ
lakk1238,j
lakk1238,j̥
lakk1238,k
lakk1238,kʰ
lakk1238,kʲʰ
lakk1238,kʷ
lakk1238,kʷʰ
lakk1238,l
lakk1238,ɬ
lakk1238,m
lakk1238,m̥
lakk1238,n
lakk1238,n̥
lakk1238,ŋ
lakk1238,ŋʲ
lakk1238,ŋ̥ʲ
lakk1238,ŋʷ
lakk1238,ŏ̃
